pair,timeframe,strategy,family,rr,trail_trigger,trail_step,trades,wins,winrate,net_pnl,pnl_per_day,days_ge_20,active_days
XAUUSDm,5m,engulfing_body_0.35,pattern,2.0,2.0,1.0,756,325,42.99,727.94,16.18,18,45
XAUUSDm,5m,donchian_break_20_k0.2,structure,2.0,2.0,1.0,636,247,38.84,739.63,15.41,14,48
XAUUSDm,5m,rsi_revert_25_75,regime,2.0,2.0,1.0,246,119,48.37,634.43,14.42,14,44
XAUUSDm,5m,rsi_trend_25_75,regime,2.0,2.0,1.0,245,101,41.22,603.97,13.73,13,44
XAUUSDm,5m,engulfing_body_0.5,pattern,2.0,2.0,1.0,608,260,42.76,583.64,12.97,13,45
XAUUSDm,5m,donchian_break_50_k0.2,structure,2.0,2.0,1.0,353,145,41.08,599.86,12.76,12,47
XAUUSDm,5m,rsi_revert_20_80,regime,2.0,2.0,1.0,97,42,43.3,347.61,11.99,5,29
XAUUSDm,5m,engulfing_body_0.65,pattern,2.0,2.0,1.0,401,181,45.14,483.33,10.98,12,44
XAUUSDm,5m,rsi_trend_20_80,regime,2.0,2.0,1.0,96,50,52.08,276.53,9.54,7,29
XAUUSDm,5m,engulfing_body_0.8,pattern,2.0,2.0,1.0,160,75,46.88,240.45,5.86,5,41
XAUUSDm,5m,donchian_break_20_k0.0,structure,2.0,2.0,1.0,0,0,0.0,0.0,0.0,0,0
XAUUSDm,5m,donchian_break_50_k0.0,structure,2.0,2.0,1.0,0,0,0.0,0.0,0.0,0,0
