time,open,high,low,close,tick_volume,spread,real_volume
2026-01-14 00:57:00,60.819,60.834,60.818,60.823,12,18,0
2026-01-14 01:00:00,60.828,60.84,60.678,60.745,183,18,0
2026-01-14 01:03:00,60.743,60.766,60.726,60.743,66,18,0
2026-01-14 01:06:00,60.742,60.748,60.712,60.73,48,18,0
2026-01-14 01:09:00,60.732,60.737,60.603,60.603,93,18,0
2026-01-14 01:12:00,60.608,60.64,60.579,60.624,116,18,0
2026-01-14 01:15:00,60.621,60.663,60.612,60.654,79,18,0
2026-01-14 01:18:00,60.652,60.676,60.616,60.64,52,18,0
2026-01-14 01:21:00,60.642,60.707,60.638,60.693,65,18,0
2026-01-14 01:24:00,60.692,60.733,60.68,60.714,66,18,0
2026-01-14 01:27:00,60.712,60.721,60.68,60.697,52,18,0
2026-01-14 01:30:00,60.693,60.726,60.679,60.722,37,18,0
2026-01-14 01:33:00,60.722,60.729,60.679,60.712,34,18,0
2026-01-14 01:36:00,60.714,60.737,60.693,60.727,38,18,0
2026-01-14 01:39:00,60.725,60.768,60.723,60.744,57,18,0
2026-01-14 01:42:00,60.745,60.751,60.668,60.668,63,18,0
2026-01-14 01:45:00,60.667,60.688,60.646,60.666,47,18,0
2026-01-14 01:48:00,60.671,60.754,60.671,60.742,53,18,0
2026-01-14 01:51:00,60.741,60.763,60.724,60.736,43,18,0
2026-01-14 01:54:00,60.735,60.735,60.702,60.725,39,18,0
2026-01-14 01:57:00,60.728,60.783,60.728,60.758,55,18,0
2026-01-14 02:00:00,60.761,60.779,60.748,60.769,47,18,0
2026-01-14 02:03:00,60.765,60.785,60.742,60.777,42,18,0
2026-01-14 02:06:00,60.78,60.822,60.761,60.772,68,18,0
2026-01-14 02:09:00,60.779,60.803,60.753,60.803,53,18,0
2026-01-14 02:12:00,60.8,60.8,60.746,60.779,49,18,0
2026-01-14 02:15:00,60.781,60.791,60.772,60.78,22,18,0
2026-01-14 02:18:00,60.785,60.81,60.755,60.761,45,18,0
2026-01-14 02:21:00,60.765,60.785,60.76,60.76,13,18,0
2026-01-14 02:24:00,60.762,60.772,60.76,60.77,7,18,0
2026-01-14 02:27:00,60.772,60.781,60.765,60.773,21,18,0
2026-01-14 02:30:00,60.776,60.811,60.75,60.808,69,18,0
2026-01-14 02:33:00,60.806,60.806,60.729,60.739,53,18,0
2026-01-14 02:36:00,60.745,60.745,60.703,60.729,46,18,0
2026-01-14 02:39:00,60.734,60.746,60.701,60.728,42,18,0
2026-01-14 02:42:00,60.73,60.749,60.724,60.728,34,18,0
2026-01-14 02:45:00,60.726,60.726,60.688,60.7,53,18,0
2026-01-14 02:48:00,60.703,60.744,60.69,60.7,37,18,0
2026-01-14 02:51:00,60.698,60.705,60.668,60.671,26,18,0
2026-01-14 02:54:00,60.674,60.685,60.674,60.681,13,18,0
2026-01-14 02:57:00,60.683,60.701,60.664,60.675,23,18,0
2026-01-14 03:00:00,60.672,60.724,60.659,60.713,42,18,0
2026-01-14 03:03:00,60.715,60.755,60.709,60.755,29,18,0
2026-01-14 03:06:00,60.753,60.753,60.697,60.714,45,18,0
2026-01-14 03:09:00,60.721,60.739,60.705,60.739,32,18,0
2026-01-14 03:12:00,60.744,60.751,60.717,60.717,34,18,0
2026-01-14 03:15:00,60.718,60.742,60.707,60.739,41,18,0
2026-01-14 03:18:00,60.736,60.768,60.723,60.731,40,18,0
2026-01-14 03:21:00,60.733,60.755,60.712,60.752,38,18,0
2026-01-14 03:24:00,60.754,60.759,60.64,60.64,53,18,0
2026-01-14 03:27:00,60.642,60.672,60.629,60.662,71,18,0
2026-01-14 03:30:00,60.66,60.688,60.642,60.688,50,18,0
2026-01-14 03:33:00,60.69,60.698,60.616,60.63,37,18,0
2026-01-14 03:36:00,60.632,60.643,60.583,60.584,47,18,0
2026-01-14 03:39:00,60.587,60.615,60.557,60.612,39,18,0
2026-01-14 03:42:00,60.612,60.614,60.584,60.601,25,18,0
2026-01-14 03:45:00,60.604,60.623,60.594,60.623,22,18,0
2026-01-14 03:48:00,60.62,60.667,60.6,60.665,48,18,0
2026-01-14 03:51:00,60.665,60.667,60.609,60.609,33,18,0
2026-01-14 03:54:00,60.616,60.731,60.616,60.729,47,18,0
2026-01-14 03:57:00,60.727,60.736,60.721,60.721,29,18,0
2026-01-14 04:00:00,60.725,60.786,60.725,60.772,37,18,0
2026-01-14 04:03:00,60.766,60.794,60.754,60.788,31,18,0
2026-01-14 04:06:00,60.79,60.79,60.745,60.745,30,18,0
2026-01-14 04:09:00,60.747,60.759,60.711,60.728,45,18,0
2026-01-14 04:12:00,60.725,60.729,60.706,60.709,25,18,0
2026-01-14 04:15:00,60.706,60.71,60.697,60.697,22,18,0
2026-01-14 04:18:00,60.697,60.701,60.685,60.701,16,18,0
2026-01-14 04:21:00,60.706,60.735,60.706,60.713,13,18,0
2026-01-14 04:24:00,60.713,60.717,60.711,60.711,5,18,0
2026-01-14 04:27:00,60.709,60.718,60.708,60.718,6,18,0
2026-01-14 04:30:00,60.716,60.716,60.673,60.683,24,18,0
2026-01-14 04:33:00,60.689,60.756,60.689,60.745,32,18,0
2026-01-14 04:36:00,60.748,60.779,60.748,60.768,21,18,0
2026-01-14 04:39:00,60.761,60.776,60.756,60.759,19,18,0
2026-01-14 04:42:00,60.762,60.783,60.754,60.778,20,18,0
2026-01-14 04:45:00,60.775,60.775,60.751,60.752,15,18,0
2026-01-14 04:48:00,60.751,60.756,60.75,60.75,10,18,0
2026-01-14 04:51:00,60.748,60.748,60.735,60.737,9,18,0
2026-01-14 04:54:00,60.737,60.744,60.725,60.726,18,18,0
2026-01-14 04:57:00,60.724,60.735,60.706,60.706,20,18,0
2026-01-14 05:00:00,60.703,60.719,60.688,60.716,36,18,0
2026-01-14 05:03:00,60.716,60.73,60.714,60.728,22,18,0
2026-01-14 05:06:00,60.722,60.724,60.702,60.709,14,18,0
2026-01-14 05:09:00,60.707,60.71,60.681,60.685,17,18,0
2026-01-14 05:12:00,60.679,60.689,60.665,60.687,15,18,0
2026-01-14 05:15:00,60.684,60.688,60.66,60.666,27,18,0
2026-01-14 05:18:00,60.668,60.676,60.664,60.664,9,18,0
2026-01-14 05:21:00,60.667,60.672,60.635,60.669,31,18,0
2026-01-14 05:24:00,60.673,60.697,60.673,60.697,19,18,0
2026-01-14 05:27:00,60.698,60.724,60.698,60.724,20,18,0
2026-01-14 05:30:00,60.721,60.721,60.633,60.683,88,18,0
2026-01-14 05:33:00,60.688,60.693,60.655,60.666,48,18,0
2026-01-14 05:36:00,60.668,60.703,60.668,60.693,36,18,0
2026-01-14 05:39:00,60.69,60.703,60.677,60.691,32,18,0
2026-01-14 05:42:00,60.691,60.734,60.685,60.719,48,18,0
2026-01-14 05:45:00,60.719,60.724,60.684,60.692,69,18,0
2026-01-14 05:48:00,60.689,60.689,60.626,60.645,62,18,0
2026-01-14 05:51:00,60.644,60.677,60.644,60.677,40,18,0
2026-01-14 05:54:00,60.673,60.673,60.611,60.619,59,18,0
2026-01-14 05:57:00,60.622,60.641,60.585,60.634,67,18,0
2026-01-14 06:00:00,60.636,60.665,60.609,60.665,46,18,0
2026-01-14 06:03:00,60.66,60.705,60.66,60.701,33,18,0
2026-01-14 06:06:00,60.706,60.709,60.659,60.698,63,18,0
2026-01-14 06:09:00,60.701,60.715,60.671,60.692,51,18,0
2026-01-14 06:12:00,60.692,60.722,60.692,60.7,65,18,0
2026-01-14 06:15:00,60.703,60.727,60.666,60.669,47,18,0
2026-01-14 06:18:00,60.672,60.689,60.649,60.649,28,18,0
2026-01-14 06:21:00,60.645,60.709,60.639,60.709,41,18,0
2026-01-14 06:24:00,60.704,60.753,60.704,60.706,47,18,0
2026-01-14 06:27:00,60.702,60.705,60.645,60.662,39,18,0
2026-01-14 06:30:00,60.661,60.666,60.618,60.657,43,18,0
2026-01-14 06:33:00,60.657,60.663,60.618,60.648,47,18,0
2026-01-14 06:36:00,60.641,60.659,60.624,60.659,30,18,0
2026-01-14 06:39:00,60.657,60.657,60.625,60.638,38,18,0
2026-01-14 06:42:00,60.638,60.647,60.62,60.631,35,18,0
2026-01-14 06:45:00,60.635,60.642,60.612,60.634,57,18,0
2026-01-14 06:48:00,60.631,60.641,60.568,60.568,31,18,0
2026-01-14 06:51:00,60.569,60.569,60.518,60.533,92,18,0
2026-01-14 06:54:00,60.531,60.551,60.46,60.46,91,18,0
2026-01-14 06:57:00,60.459,60.48,60.419,60.451,98,18,0
2026-01-14 07:00:00,60.457,60.509,60.389,60.435,111,18,0
2026-01-14 07:03:00,60.432,60.508,60.432,60.5,60,18,0
2026-01-14 07:06:00,60.497,60.544,60.482,60.522,80,18,0
2026-01-14 07:09:00,60.524,60.534,60.487,60.508,66,18,0
2026-01-14 07:12:00,60.512,60.543,60.489,60.541,68,18,0
2026-01-14 07:15:00,60.544,60.579,60.51,60.572,64,18,0
2026-01-14 07:18:00,60.569,60.569,60.521,60.535,52,18,0
2026-01-14 07:21:00,60.532,60.572,60.526,60.557,58,18,0
2026-01-14 07:24:00,60.56,60.585,60.548,60.559,64,18,0
2026-01-14 07:27:00,60.557,60.561,60.505,60.507,54,18,0
2026-01-14 07:30:00,60.504,60.511,60.45,60.456,63,18,0
2026-01-14 07:33:00,60.453,60.523,60.453,60.518,81,18,0
2026-01-14 07:36:00,60.522,60.567,60.512,60.519,72,18,0
2026-01-14 07:39:00,60.519,60.538,60.5,60.5,64,18,0
2026-01-14 07:42:00,60.502,60.537,60.502,60.521,62,18,0
2026-01-14 07:45:00,60.519,60.54,60.455,60.461,68,18,0
2026-01-14 07:48:00,60.461,60.468,60.432,60.452,66,18,0
2026-01-14 07:51:00,60.455,60.507,60.451,60.457,83,18,0
2026-01-14 07:54:00,60.454,60.461,60.431,60.444,65,18,0
2026-01-14 07:57:00,60.444,60.47,60.424,60.462,84,18,0
2026-01-14 08:00:00,60.458,60.484,60.363,60.391,183,18,0
2026-01-14 08:03:00,60.389,60.448,60.37,60.412,114,18,0
2026-01-14 08:06:00,60.412,60.46,60.388,60.46,107,18,0
2026-01-14 08:09:00,60.457,60.47,60.423,60.446,98,18,0
2026-01-14 08:12:00,60.443,60.449,60.379,60.401,133,18,0
2026-01-14 08:15:00,60.397,60.455,60.358,60.379,146,18,0
2026-01-14 08:18:00,60.378,60.388,60.315,60.379,141,18,0
2026-01-14 08:21:00,60.379,60.412,60.349,60.382,106,18,0
2026-01-14 08:24:00,60.384,60.408,60.337,60.337,107,18,0
2026-01-14 08:27:00,60.333,60.351,60.285,60.322,194,18,0
2026-01-14 08:30:00,60.327,60.337,60.216,60.29,214,18,0
2026-01-14 08:33:00,60.29,60.409,60.276,60.409,137,18,0
2026-01-14 08:36:00,60.408,60.427,60.342,60.384,138,18,0
2026-01-14 08:39:00,60.383,60.426,60.346,60.365,127,18,0
2026-01-14 08:42:00,60.367,60.428,60.348,60.364,107,18,0
2026-01-14 08:45:00,60.367,60.416,60.356,60.403,74,18,0
2026-01-14 08:48:00,60.404,60.522,60.394,60.502,146,18,0
2026-01-14 08:51:00,60.5,60.55,60.456,60.475,120,18,0
2026-01-14 08:54:00,60.477,60.502,60.428,60.43,84,18,0
2026-01-14 08:57:00,60.435,60.437,60.371,60.411,114,18,0
2026-01-14 09:00:00,60.42,60.426,60.298,60.352,195,18,0
2026-01-14 09:03:00,60.354,60.405,60.344,60.372,127,18,0
