time,open,high,low,close,volume
2026-03-24 17:25:00,69166.29,69183.67,69085.9,69148.77,440
2026-03-24 17:30:00,69150.99,69210.86,69022.9,69099.67,522
2026-03-24 17:35:00,69100.5,69303.81,69045.85,69230.31,571
2026-03-24 17:40:00,69231.22,69255.4,68880.22,68911.37,511
2026-03-24 17:45:00,68914.41,69033.71,68882.52,69017.23,423
2026-03-24 17:50:00,69017.12,69120.57,68954.97,69013.38,467
2026-03-24 17:55:00,69013.32,69224.0,68964.22,69199.92,842
2026-03-24 18:00:00,69207.19,69303.2,69121.4,69230.41,572
2026-03-24 18:05:00,69226.1,69292.9,69154.66,69270.59,404
2026-03-24 18:10:00,69269.4,69358.05,69205.51,69313.06,378
2026-03-24 18:15:00,69311.93,69388.84,69224.51,69347.36,538
2026-03-24 18:20:00,69348.06,69455.17,69313.15,69396.33,448
2026-03-24 18:25:00,69395.01,69444.08,69334.59,69376.12,335
2026-03-24 18:30:00,69379.86,69542.07,69327.01,69468.83,466
2026-03-24 18:35:00,69465.91,69719.29,69457.69,69716.51,447
2026-03-24 18:40:00,69715.99,69715.99,69450.1,69481.91,501
2026-03-24 18:45:00,69485.13,69536.22,69393.6,69424.99,382
2026-03-24 18:50:00,69429.03,69538.52,69411.23,69493.13,350
2026-03-24 18:55:00,69489.29,69494.86,69378.11,69401.31,297
2026-03-24 19:00:00,69399.99,69507.12,69384.88,69477.01,352
2026-03-24 19:05:00,69483.82,69588.05,69452.91,69554.03,282
2026-03-24 19:10:00,69562.41,69614.43,69538.44,69598.97,222
2026-03-24 19:15:00,69598.41,69660.07,69563.45,69619.88,274
2026-03-24 19:20:00,69618.42,69629.73,69533.19,69562.41,328
2026-03-24 19:25:00,69553.06,69563.98,69484.06,69514.69,244
2026-03-24 19:30:00,69514.55,69514.55,69349.35,69381.52,384
2026-03-24 19:35:00,69381.98,69432.91,69325.11,69402.43,278
2026-03-24 19:40:00,69402.44,69448.31,69375.85,69407.48,213
2026-03-24 19:45:00,69407.41,69407.41,69255.97,69272.82,283
2026-03-24 19:50:00,69275.12,69320.77,69215.22,69320.77,311
2026-03-24 19:55:00,69328.78,69351.87,69254.65,69335.06,306
2026-03-24 20:00:00,69326.56,69368.97,69284.35,69287.5,243
2026-03-24 20:05:00,69286.5,69322.82,69241.41,69297.95,191
2026-03-24 20:10:00,69298.49,69378.93,69298.49,69378.93,155
2026-03-24 20:15:00,69379.08,69490.52,69371.64,69487.74,207
2026-03-24 20:20:00,69488.13,69934.08,69488.13,69919.16,1152
2026-03-24 20:25:00,69918.46,70265.21,69902.64,69979.17,1082
2026-03-24 20:30:00,69979.54,70171.91,69918.89,69947.66,642
2026-03-24 20:35:00,69939.64,70120.87,69921.38,70085.27,662
2026-03-24 20:40:00,70087.92,70104.49,69974.29,70019.91,457
2026-03-24 20:45:00,70019.43,70064.77,69849.5,70049.16,500
2026-03-24 20:50:00,70045.54,70212.7,69991.78,70029.0,405
2026-03-24 20:55:00,70028.12,70101.32,70006.26,70070.6,262
2026-03-24 21:00:00,70068.29,70157.97,70037.28,70131.21,268
2026-03-24 21:05:00,70131.99,70184.18,69953.57,70000.32,280
2026-03-24 21:10:00,69996.15,70025.61,69892.75,69962.97,218
2026-03-24 21:15:00,69967.35,70004.34,69891.75,69959.82,199
2026-03-24 21:20:00,69955.0,69967.84,69861.96,69861.96,153
2026-03-24 21:25:00,69869.3,70091.47,69869.3,70018.65,263
2026-03-24 21:30:00,70017.37,70113.33,69990.28,70029.19,201
2026-03-24 21:35:00,70035.08,70189.83,70012.32,70159.32,303
2026-03-24 21:40:00,70161.23,70377.36,70109.72,70240.3,551
2026-03-24 21:45:00,70240.23,70364.59,70176.57,70286.5,663
2026-03-24 21:50:00,70283.41,70304.42,70171.91,70248.19,316
2026-03-24 21:55:00,70248.1,70314.57,70155.26,70290.18,287
2026-03-24 22:00:00,70288.41,70323.45,70180.65,70254.24,334
2026-03-24 22:05:00,70249.08,70512.88,70238.74,70471.31,483
2026-03-24 22:10:00,70477.72,70542.27,70426.95,70489.57,421
2026-03-24 22:15:00,70491.19,70504.03,70363.1,70392.65,366
2026-03-24 22:20:00,70392.06,70421.35,70346.41,70395.35,357
2026-03-24 22:25:00,70388.21,70396.52,70147.27,70211.63,372
2026-03-24 22:30:00,70213.83,70283.44,70077.26,70178.02,434
2026-03-24 22:35:00,70179.34,70248.43,70128.31,70215.97,243
2026-03-24 22:40:00,70216.88,70286.67,70194.34,70247.11,183
